question,accepted_answer,role,experience,topic,difficulty_level,feedback_point_1,feedback_point_2,feedback_point_3,salary_range
"What is the difference between iOS and Android development?","iOS uses Swift/Objective-C with Xcode IDE, targeting Apple devices. Android uses Java/Kotlin with Android Studio, targeting diverse devices. iOS has stricter guidelines, Android offers more customization.","Mobile Developer",3,"Platform","Medium","Check platform-specific knowledge","Evaluate language differences understanding","Assess development environment familiarity","85000-125000"
"Explain mobile app lifecycle methods","iOS: viewDidLoad, viewWillAppear, viewDidAppear, viewWillDisappear, viewDidDisappear. Android: onCreate, onStart, onResume, onPause, onStop, onDestroy. These manage app state transitions.","Mobile Developer",3,"Lifecycle","Medium","Check lifecycle methods knowledge","Evaluate state management understanding","Assess platform-specific implementation","85000-125000"
"What are design patterns in mobile development?","Common patterns include MVC, MVP, MVVM for architecture, Singleton for shared instances, Observer for notifications, and Factory for object creation. These improve code organization and maintainability.","Mobile Developer",3,"Design Patterns","Medium","Check design pattern knowledge","Evaluate architectural understanding","Assess practical application awareness","85000-125000"
"Describe mobile app performance optimization","Techniques include image optimization, lazy loading, efficient memory management, background task optimization, network request optimization, and UI rendering improvements. Profiling tools help identify bottlenecks.","Mobile Developer",3,"Performance","Hard","Check optimization techniques knowledge","Evaluate performance bottleneck understanding","Assess profiling tools familiarity","85000-125000"
"What is responsive design in mobile apps?","Responsive design ensures apps work across different screen sizes and orientations. Uses flexible layouts, adaptive images, and platform-specific UI guidelines (Material Design for Android, Human Interface for iOS).","Mobile Developer",3,"UI/UX","Medium","Check responsive design understanding","Evaluate cross-platform considerations","Assess UI guidelines knowledge","85000-125000"
"Explain React component lifecycle methods","React lifecycle includes mounting (constructor, render, componentDidMount), updating (render, componentDidUpdate), and unmounting (componentWillUnmount). Hooks like useEffect replace lifecycle methods in functional components.","Frontend Engineer",3,"React","Medium","Check lifecycle methods knowledge","Evaluate hooks understanding","Assess component state management","85000-125000"
"What is the difference between CSS Grid and Flexbox?","CSS Grid is 2D layout system for complex layouts, Flexbox is 1D for alignment within containers. Grid handles rows and columns, Flexbox handles either row or column. Use Grid for page layout, Flexbox for component layout.","Frontend Engineer",3,"CSS","Medium","Check layout system understanding","Evaluate use case scenarios","Assess practical application knowledge","85000-125000"
"Describe TypeScript benefits over JavaScript","TypeScript adds static typing, compile-time error checking, better IDE support, and enhanced code documentation. Helps catch bugs early, improves code maintainability, and provides better developer experience.","Frontend Engineer",3,"TypeScript","Medium","Check typing system understanding","Evaluate development benefits","Assess error prevention knowledge","85000-125000"
"What are Web Performance optimization techniques?","Techniques include code splitting, lazy loading, image optimization, CDN usage, caching strategies, minification, tree shaking, and reducing bundle size. Tools like Lighthouse help measure performance.","Frontend Engineer",3,"Performance","Hard","Check optimization techniques knowledge","Evaluate measurement tools familiarity","Assess practical implementation understanding","85000-125000"
"Explain Redux state management","Redux is predictable state container with unidirectional data flow. Uses actions, reducers, and store. Actions describe what happened, reducers specify state changes, store holds application state.","Frontend Engineer",3,"State Management","Medium","Check Redux architecture understanding","Evaluate data flow comprehension","Assess practical usage knowledge","85000-125000"
"What is database normalization?","Database normalization organizes data to reduce redundancy and improve integrity. Forms include 1NF (atomic values), 2NF (no partial dependencies), 3NF (no transitive dependencies). Balances storage efficiency with query performance.","Backend Engineer",3,"Database","Medium","Check normalization forms knowledge","Evaluate redundancy reduction understanding","Assess trade-offs comprehension","90000-130000"
"Explain microservices architecture","Microservices break applications into small, independent services communicating via APIs. Benefits include scalability, technology diversity, fault isolation. Challenges include complexity, data consistency, network latency.","Backend Engineer",3,"Architecture","Hard","Check microservices concept understanding","Evaluate benefits and challenges knowledge","Assess communication patterns awareness","90000-130000"
"What are SOLID principles?","SOLID: Single Responsibility, Open/Closed, Liskov Substitution, Interface Segregation, Dependency Inversion. These principles guide object-oriented design for maintainable, flexible, and testable code.","Backend Engineer",3,"Design Principles","Medium","Check all five principles knowledge","Evaluate practical application understanding","Assess code quality impact awareness","90000-130000"
"Describe API authentication methods","Methods include Basic Auth, JWT tokens, OAuth 2.0, API keys. JWT provides stateless authentication, OAuth handles third-party authorization, API keys for service-to-service communication. Consider security and scalability.","Backend Engineer",3,"Security","Medium","Check authentication methods knowledge","Evaluate security considerations","Assess use case scenarios understanding","90000-130000"
"What is caching and its strategies?","Caching stores frequently accessed data for faster retrieval. Strategies include in-memory (Redis), CDN, database query caching, application-level caching. Consider cache invalidation, TTL, and consistency.","Backend Engineer",3,"Performance","Medium","Check caching strategies knowledge","Evaluate invalidation understanding","Assess performance impact awareness","90000-130000"
"Explain full-stack development challenges","Challenges include managing multiple technologies, ensuring frontend-backend compatibility, handling state synchronization, deployment complexity, and staying updated with diverse tech stacks.","Full Stack Engineer",3,"Architecture","Medium","Check multi-technology understanding","Evaluate integration challenges awareness","Assess end-to-end development knowledge","85000-125000"
"What is GraphQL vs REST API?","GraphQL allows clients to request specific data fields, reducing over-fetching. REST uses multiple endpoints, GraphQL uses single endpoint. GraphQL provides type system and real-time subscriptions, REST is simpler and cacheable.","Full Stack Engineer",3,"API","Medium","Check GraphQL concepts understanding","Evaluate REST comparison knowledge","Assess use case scenarios awareness","85000-125000"
"Describe ETL pipeline components","ETL: Extract (data sources), Transform (cleaning, validation, aggregation), Load (target systems). Components include data connectors, transformation engines, schedulers, monitoring, and error handling.","Data Engineer",3,"ETL","Medium","Check ETL process understanding","Evaluate component knowledge","Assess data flow comprehension","95000-135000"
"What is data warehousing?","Data warehouse is centralized repository for integrated data from multiple sources. Uses dimensional modeling, fact and dimension tables, supports OLAP queries for analytics and reporting.","Data Engineer",3,"Data Warehousing","Medium","Check warehousing concepts understanding","Evaluate dimensional modeling knowledge","Assess OLAP vs OLTP awareness","95000-135000"
"Explain machine learning model deployment","Deployment involves model serialization, API creation, containerization, monitoring, and scaling. Consider model versioning, A/B testing, performance monitoring, and rollback strategies.","ML Engineer",3,"MLOps","Hard","Check deployment process understanding","Evaluate monitoring importance","Assess production considerations knowledge","100000-140000"
"What is feature engineering?","Feature engineering creates relevant input variables for ML models. Includes feature selection, transformation, scaling, encoding categorical variables, handling missing data, and creating derived features.","ML Engineer",3,"Feature Engineering","Medium","Check feature creation understanding","Evaluate preprocessing techniques","Assess model performance impact awareness","100000-140000"
"Describe test automation strategies","Strategies include unit tests, integration tests, end-to-end tests, API testing. Use test pyramid approach, maintain test data, implement CI/CD integration, and ensure test reliability.","QA Engineer",3,"Test Automation","Medium","Check testing levels understanding","Evaluate automation strategies knowledge","Assess test pyramid comprehension","75000-115000"
"What is performance testing?","Performance testing evaluates system responsiveness, stability, and scalability under load. Types include load testing, stress testing, spike testing, volume testing. Use tools like JMeter, LoadRunner.","QA Engineer",3,"Performance Testing","Medium","Check performance testing types","Evaluate load testing understanding","Assess tools knowledge","75000-115000"
"Explain OWASP Top 10 vulnerabilities","OWASP Top 10 includes injection attacks, broken authentication, sensitive data exposure, XML external entities, broken access control, security misconfiguration, XSS, insecure deserialization, vulnerable components, insufficient logging.","Security Engineer",3,"Web Security","Hard","Check OWASP knowledge","Evaluate vulnerability understanding","Assess mitigation strategies awareness","100000-140000"
"What is threat modeling?","Threat modeling identifies security threats, vulnerabilities, and countermeasures. Process includes asset identification, threat identification, vulnerability assessment, and risk analysis. Use frameworks like STRIDE, PASTA.","Security Engineer",3,"Security Architecture","Medium","Check threat modeling understanding","Evaluate frameworks knowledge","Assess risk assessment comprehension","100000-140000"
"Describe product roadmap planning","Product roadmap aligns product strategy with business goals. Includes market research, user feedback analysis, feature prioritization, timeline planning, stakeholder communication, and success metrics definition.","Product Manager",3,"Product Strategy","Medium","Check roadmap planning understanding","Evaluate prioritization knowledge","Assess stakeholder management awareness","110000-150000"
"What is A/B testing in product management?","A/B testing compares two versions to determine which performs better. Involves hypothesis formation, test design, statistical significance analysis, and data-driven decision making for product improvements.","Product Manager",3,"Analytics","Medium","Check A/B testing understanding","Evaluate statistical concepts knowledge","Assess experiment design comprehension","110000-150000"
"Explain JavaScript closures and their use cases","Closures allow inner functions to access outer function variables even after outer function returns. Used for data privacy, module patterns, callbacks, and maintaining state in asynchronous operations.","Frontend Engineer",3,"JavaScript","Medium","Check closure concept understanding","Evaluate practical use cases knowledge","Assess scope and memory implications","85000-125000"
"What is Virtual DOM in React?","Virtual DOM is JavaScript representation of real DOM. React creates virtual DOM tree, compares with previous version (diffing), and updates only changed elements (reconciliation) for better performance.","Frontend Engineer",3,"React","Medium","Check Virtual DOM understanding","Evaluate diffing algorithm knowledge","Assess performance benefits comprehension","85000-125000"
"Describe CSS specificity and inheritance","CSS specificity determines which styles apply when multiple rules target same element. Order: inline styles, IDs, classes, elements. Inheritance passes styles from parent to child elements.","Frontend Engineer",3,"CSS","Easy","Check specificity calculation","Evaluate inheritance understanding","Assess cascade comprehension","85000-125000"
"What are Web Components?","Web Components are reusable custom elements with encapsulated functionality. Include Custom Elements, Shadow DOM, HTML Templates, and ES Modules for creating framework-agnostic components.","Frontend Engineer",3,"Web Standards","Hard","Check Web Components understanding","Evaluate browser support knowledge","Assess encapsulation benefits","85000-125000"
"Explain Progressive Web Apps (PWA)","PWAs combine web and mobile app features using service workers, web app manifest, and HTTPS. Provide offline functionality, push notifications, and app-like experience.","Frontend Engineer",3,"PWA","Medium","Check PWA concepts understanding","Evaluate service worker knowledge","Assess offline strategies comprehension","85000-125000"
"What is database indexing?","Database indexes improve query performance by creating data structures that point to table rows. Types include B-tree, hash, bitmap indexes. Trade-off between read performance and write overhead.","Backend Engineer",3,"Database","Medium","Check indexing concepts understanding","Evaluate index types knowledge","Assess performance trade-offs awareness","90000-130000"
"Describe load balancing strategies","Load balancing distributes requests across multiple servers. Strategies include round-robin, least connections, weighted, IP hash. Can be implemented at Layer 4 (transport) or Layer 7 (application).","Backend Engineer",3,"Scalability","Medium","Check load balancing understanding","Evaluate strategy differences knowledge","Assess layer distinctions comprehension","90000-130000"
"What is message queuing?","Message queues enable asynchronous communication between services. Patterns include point-to-point, publish-subscribe. Benefits: decoupling, reliability, scalability. Examples: RabbitMQ, Apache Kafka.","Backend Engineer",3,"Messaging","Medium","Check message queue understanding","Evaluate patterns knowledge","Assess benefits and use cases","90000-130000"
"Explain database transactions and ACID properties","Transactions ensure data integrity through ACID: Atomicity (all or nothing), Consistency (valid state), Isolation (concurrent access), Durability (permanent changes). Critical for data reliability.","Backend Engineer",3,"Database","Medium","Check ACID properties understanding","Evaluate transaction concepts","Assess concurrency implications","90000-130000"
"What is API rate limiting?","Rate limiting controls API request frequency to prevent abuse and ensure fair usage. Techniques include token bucket, sliding window, fixed window. Implement using Redis or in-memory counters.","Backend Engineer",3,"API Security","Medium","Check rate limiting understanding","Evaluate implementation techniques","Assess security benefits awareness","90000-130000"
"Describe container orchestration with Kubernetes","Kubernetes manages containerized applications across clusters. Key concepts: Pods, Services, Deployments, ConfigMaps, Secrets. Provides scaling, load balancing, service discovery, rolling updates.","DevOps Engineer",3,"Orchestration","Hard","Check Kubernetes concepts understanding","Evaluate component knowledge","Assess orchestration benefits","90000-130000"
"What is Infrastructure as Code benefits?","IaC manages infrastructure through code, enabling version control, automation, consistency, and reproducibility. Tools like Terraform, CloudFormation provide declarative infrastructure management.","DevOps Engineer",3,"Infrastructure","Medium","Check IaC concepts understanding","Evaluate tools knowledge","Assess automation benefits","90000-130000"
"Explain blue-green deployment strategy","Blue-green deployment maintains two identical environments. Deploy to inactive environment, test, then switch traffic. Provides zero-downtime deployments and easy rollback capability.","DevOps Engineer",3,"Deployment","Medium","Check deployment strategy understanding","Evaluate risk mitigation knowledge","Assess rollback procedures","90000-130000"
"What is observability in microservices?","Observability includes monitoring, logging, and tracing to understand system behavior. Three pillars: metrics (quantitative), logs (events), traces (request flow). Essential for debugging distributed systems.","DevOps Engineer",3,"Monitoring","Medium","Check observability understanding","Evaluate three pillars knowledge","Assess distributed systems challenges","90000-130000"
"Describe chaos engineering principles","Chaos engineering tests system resilience by introducing controlled failures. Principles: build hypothesis, minimize blast radius, automate experiments, learn from failures. Tools: Chaos Monkey, Gremlin.","DevOps Engineer",3,"Reliability","Hard","Check chaos engineering understanding","Evaluate principles knowledge","Assess resilience testing benefits","90000-130000"
"What is Android Activity lifecycle?","Android Activity lifecycle: onCreate, onStart, onResume, onPause, onStop, onDestroy. Each method handles specific state transitions for proper resource management and user experience.","Mobile Developer",3,"Android","Medium","Check lifecycle methods understanding","Evaluate state transitions knowledge","Assess resource management awareness","85000-125000"
"Explain iOS memory management with ARC","ARC (Automatic Reference Counting) manages memory by tracking object references. Strong, weak, and unowned references prevent retain cycles. Developers handle reference relationships, ARC handles deallocation.","Mobile Developer",3,"iOS","Medium","Check ARC understanding","Evaluate reference types knowledge","Assess memory leak prevention","85000-125000"
"What is React Native bridge?","React Native bridge enables communication between JavaScript and native code. JavaScript thread sends serialized data to native modules through asynchronous bridge for platform-specific functionality.","Mobile Developer",3,"React Native","Hard","Check bridge architecture understanding","Evaluate communication flow knowledge","Assess performance implications","85000-125000"
"Describe mobile app security best practices","Security practices include data encryption, secure storage, certificate pinning, code obfuscation, input validation, secure communication (HTTPS), and regular security audits.","Mobile Developer",3,"Security","Medium","Check security practices understanding","Evaluate threat awareness","Assess implementation knowledge","85000-125000"
"What is mobile app performance optimization?","Optimization includes image compression, lazy loading, efficient algorithms, memory management, network optimization, UI rendering optimization, and profiling tools usage.","Mobile Developer",3,"Performance","Medium","Check optimization techniques understanding","Evaluate profiling tools knowledge","Assess performance metrics awareness","85000-125000"
"Explain data pipeline architecture","Data pipelines move data from sources to destinations through ETL/ELT processes. Components: ingestion, processing, storage, orchestration. Consider batch vs streaming, fault tolerance, monitoring.","Data Engineer",3,"Architecture","Medium","Check pipeline architecture understanding","Evaluate ETL vs ELT knowledge","Assess fault tolerance considerations","95000-135000"
"What is data lake vs data warehouse?","Data lake stores raw data in native format, data warehouse stores structured, processed data. Lake: schema-on-read, flexible, cost-effective. Warehouse: schema-on-write, optimized queries, governance.","Data Engineer",3,"Storage","Medium","Check storage paradigms understanding","Evaluate use cases knowledge","Assess trade-offs comprehension","95000-135000"
"Describe stream processing with Apache Kafka","Kafka provides distributed streaming platform with topics, partitions, producers, consumers. Enables real-time data processing, event sourcing, and microservices communication with high throughput.","Data Engineer",3,"Streaming","Hard","Check Kafka architecture understanding","Evaluate streaming concepts knowledge","Assess scalability benefits","95000-135000"
"What is data quality and governance?","Data quality ensures accuracy, completeness, consistency, timeliness. Governance includes policies, procedures, roles for data management. Tools: data profiling, validation, lineage tracking.","Data Engineer",3,"Governance","Medium","Check quality dimensions understanding","Evaluate governance framework knowledge","Assess tooling awareness","95000-135000"
"Explain big data processing with Spark","Apache Spark provides distributed computing with RDDs, DataFrames, and Datasets. Supports batch and stream processing, machine learning, graph processing with in-memory computation.","Data Engineer",3,"Big Data","Medium","Check Spark architecture understanding","Evaluate processing models knowledge","Assess performance benefits","95000-135000"
"What is model overfitting and prevention?","Overfitting occurs when model learns training data too well, poor generalization. Prevention: cross-validation, regularization, dropout, early stopping, data augmentation, ensemble methods.","ML Engineer",3,"Model Training","Medium","Check overfitting understanding","Evaluate prevention techniques knowledge","Assess generalization concepts","100000-140000"
"Describe MLOps pipeline components","MLOps includes data versioning, model training, validation, deployment, monitoring, retraining. Components: feature stores, experiment tracking, model registry, CI/CD, monitoring dashboards.","ML Engineer",3,"MLOps","Hard","Check MLOps understanding","Evaluate pipeline components knowledge","Assess automation benefits","100000-140000"
"What is transfer learning?","Transfer learning uses pre-trained models as starting point for new tasks. Techniques: feature extraction, fine-tuning. Benefits: reduced training time, better performance with limited data.","ML Engineer",3,"Deep Learning","Medium","Check transfer learning understanding","Evaluate techniques knowledge","Assess benefits and applications","100000-140000"
"Explain model interpretability and explainability","Interpretability understands model decisions through feature importance, SHAP values, LIME. Critical for regulated industries, bias detection, and building trust in AI systems.","ML Engineer",3,"Explainable AI","Medium","Check interpretability understanding","Evaluate explanation techniques knowledge","Assess business importance awareness","100000-140000"
"What is distributed training?","Distributed training scales model training across multiple GPUs/machines. Strategies: data parallelism, model parallelism, gradient accumulation. Frameworks: Horovod, PyTorch Distributed.","ML Engineer",3,"Scalability","Hard","Check distributed training understanding","Evaluate parallelism strategies knowledge","Assess scaling challenges","100000-140000"
"Explain JavaScript closures and scope","Closures allow inner functions to access outer function variables even after outer function returns. JavaScript has function scope and block scope (let/const). Closures enable data privacy and module patterns.","Frontend Engineer",3,"JavaScript","Medium","Check closure concept understanding","Evaluate scope chain knowledge","Assess practical use cases awareness","85000-125000"
"What is Virtual DOM in React?","Virtual DOM is JavaScript representation of real DOM. React creates virtual DOM tree, compares with previous version (diffing), and updates only changed elements (reconciliation). Improves performance.","Frontend Engineer",3,"React","Medium","Check Virtual DOM concept","Evaluate diffing algorithm understanding","Assess performance benefits knowledge","85000-125000"
"Describe CSS specificity and inheritance","CSS specificity determines which styles apply: inline (1000), IDs (100), classes (10), elements (1). Inheritance passes styles from parent to child. !important overrides specificity.","Frontend Engineer",3,"CSS","Easy","Check specificity calculation","Evaluate inheritance understanding","Assess cascade comprehension","85000-125000"
"What are Web Components?","Web Components are reusable custom elements using Shadow DOM, Custom Elements, HTML Templates. Enable encapsulation, reusability across frameworks. Browser-native component architecture.","Frontend Engineer",3,"Web Standards","Hard","Check Web Components understanding","Evaluate Shadow DOM knowledge","Assess browser support awareness","85000-125000"
"Explain Progressive Web Apps (PWA)","PWAs use service workers, web app manifest, HTTPS for app-like experience. Features include offline functionality, push notifications, installability, responsive design.","Frontend Engineer",3,"PWA","Medium","Check PWA concepts understanding","Evaluate service worker knowledge","Assess offline strategies awareness","85000-125000"
"What is database indexing?","Database indexes improve query performance by creating sorted data structures. Types include B-tree, hash, bitmap indexes. Trade-off between query speed and write performance.","Backend Engineer",3,"Database","Medium","Check indexing concept understanding","Evaluate index types knowledge","Assess performance trade-offs awareness","90000-130000"
"Describe message queues and their benefits","Message queues enable asynchronous communication between services. Benefits include decoupling, scalability, reliability, load leveling. Examples: RabbitMQ, Apache Kafka, AWS SQS.","Backend Engineer",3,"Architecture","Medium","Check message queue understanding","Evaluate async communication benefits","Assess queue technologies knowledge","90000-130000"
"What is load balancing?","Load balancing distributes incoming requests across multiple servers. Types include round-robin, least connections, IP hash. Improves availability, scalability, and performance.","Backend Engineer",3,"Scalability","Medium","Check load balancing understanding","Evaluate distribution algorithms","Assess scalability benefits knowledge","90000-130000"
"Explain database transactions and ACID","Transactions ensure data consistency. ACID: Atomicity (all or nothing), Consistency (valid state), Isolation (concurrent safety), Durability (permanent changes).","Backend Engineer",3,"Database","Medium","Check ACID properties understanding","Evaluate transaction concept knowledge","Assess concurrency control awareness","90000-130000"
"What is serverless architecture?","Serverless runs code without managing servers. Benefits include auto-scaling, pay-per-use, reduced ops overhead. Examples: AWS Lambda, Azure Functions. Consider cold starts, vendor lock-in.","Backend Engineer",3,"Cloud","Medium","Check serverless concept understanding","Evaluate benefits and limitations","Assess use case scenarios knowledge","90000-130000"
"Describe container orchestration","Container orchestration manages containerized applications at scale. Kubernetes provides deployment, scaling, networking, service discovery. Benefits include high availability, resource efficiency.","DevOps Engineer",3,"Orchestration","Hard","Check orchestration understanding","Evaluate Kubernetes knowledge","Assess scaling strategies awareness","90000-130000"
"What is GitOps?","GitOps uses Git as single source of truth for infrastructure and applications. Automated deployment based on Git commits. Benefits include version control, rollback, audit trail.","DevOps Engineer",3,"CI/CD","Medium","Check GitOps concept understanding","Evaluate Git-based deployment","Assess automation benefits knowledge","90000-130000"
"Explain blue-green deployment","Blue-green deployment maintains two identical environments. Deploy to inactive environment, test, then switch traffic. Enables zero-downtime deployments and quick rollbacks.","DevOps Engineer",3,"Deployment","Medium","Check deployment strategy understanding","Evaluate zero-downtime concept","Assess rollback mechanisms knowledge","90000-130000"
"What is chaos engineering?","Chaos engineering tests system resilience by introducing controlled failures. Identifies weaknesses before they cause outages. Netflix's Chaos Monkey is famous example.","DevOps Engineer",3,"Reliability","Hard","Check chaos engineering understanding","Evaluate resilience testing concept","Assess failure injection knowledge","90000-130000"
"Describe data pipeline architecture","Data pipelines move data from sources to destinations with transformations. Components include ingestion, processing, storage, monitoring. Consider batch vs stream processing.","Data Engineer",3,"Architecture","Medium","Check pipeline architecture understanding","Evaluate processing types knowledge","Assess monitoring importance awareness","95000-135000"
"What is data lake vs data warehouse?","Data lake stores raw data in native format, data warehouse stores structured processed data. Lake supports all data types, warehouse optimized for analytics queries.","Data Engineer",3,"Storage","Medium","Check storage concepts understanding","Evaluate use case differences","Assess data processing knowledge","95000-135000"
"Explain stream processing","Stream processing analyzes data in real-time as it flows. Technologies include Apache Kafka, Apache Storm, Apache Flink. Use cases: fraud detection, real-time analytics.","Data Engineer",3,"Streaming","Hard","Check stream processing understanding","Evaluate real-time concepts","Assess streaming technologies knowledge","95000-135000"
"What is data quality and governance?","Data quality ensures accuracy, completeness, consistency. Data governance defines policies, procedures, responsibilities. Includes data lineage, cataloging, privacy compliance.","Data Engineer",3,"Governance","Medium","Check data quality understanding","Evaluate governance concepts","Assess compliance awareness","95000-135000"
"Describe model overfitting and underfitting","Overfitting: model memorizes training data, poor generalization. Underfitting: model too simple, poor performance. Solutions: regularization, cross-validation, more data.","ML Engineer",3,"Model Training","Medium","Check overfitting concept understanding","Evaluate prevention techniques","Assess generalization knowledge","100000-140000"
"What is cross-validation?","Cross-validation evaluates model performance by splitting data into folds. K-fold CV trains on k-1 folds, tests on remaining fold. Reduces overfitting, provides robust evaluation.","ML Engineer",3,"Validation","Medium","Check cross-validation understanding","Evaluate fold concepts","Assess model evaluation knowledge","100000-140000"
"Explain gradient descent optimization","Gradient descent minimizes loss function by iteratively moving toward steepest descent. Variants: batch, stochastic, mini-batch. Learning rate controls step size.","ML Engineer",3,"Optimization","Hard","Check optimization understanding","Evaluate gradient concepts","Assess learning rate knowledge","100000-140000"
"What is model interpretability?","Model interpretability explains how models make decisions. Techniques include LIME, SHAP, feature importance. Important for trust, debugging, regulatory compliance.","ML Engineer",3,"Interpretability","Medium","Check interpretability understanding","Evaluate explanation techniques","Assess business importance awareness","100000-140000"
"Describe API testing strategies","API testing validates functionality, reliability, performance, security. Types include unit, integration, contract, load testing. Tools: Postman, REST Assured, Newman.","QA Engineer",3,"API Testing","Medium","Check API testing understanding","Evaluate testing types knowledge","Assess tools familiarity","75000-115000"
"What is test-driven development (TDD)?","TDD writes tests before code: Red (failing test), Green (make it pass), Refactor (improve code). Benefits include better design, fewer bugs, confidence.","QA Engineer",3,"TDD","Medium","Check TDD process understanding","Evaluate red-green-refactor cycle","Assess benefits knowledge","75000-115000"
"Explain accessibility testing","Accessibility testing ensures applications work for users with disabilities. Check WCAG guidelines, screen readers, keyboard navigation, color contrast, semantic HTML.","QA Engineer",3,"Accessibility","Medium","Check accessibility understanding","Evaluate WCAG knowledge","Assess testing techniques awareness","75000-115000"
"What is security testing?","Security testing identifies vulnerabilities: authentication, authorization, data protection, SQL injection, XSS. Use tools like OWASP ZAP, Burp Suite, static analysis.","QA Engineer",3,"Security Testing","Hard","Check security testing understanding","Evaluate vulnerability types","Assess security tools knowledge","75000-115000"
"Describe penetration testing methodology","Penetration testing simulates attacks to find vulnerabilities. Phases: reconnaissance, scanning, exploitation, post-exploitation, reporting. Follow frameworks like OWASP, NIST.","Security Engineer",3,"Penetration Testing","Hard","Check pentesting methodology","Evaluate attack phases understanding","Assess framework knowledge","100000-140000"
"What is zero trust security?","Zero trust assumes no implicit trust, verifies every request. Principles: verify explicitly, least privilege access, assume breach. Implements identity-based security.","Security Engineer",3,"Architecture","Medium","Check zero trust understanding","Evaluate principles knowledge","Assess implementation awareness","100000-140000"
"Explain incident response process","Incident response handles security breaches: preparation, identification, containment, eradication, recovery, lessons learned. Requires playbooks, communication, forensics.","Security Engineer",3,"Incident Response","Medium","Check incident response understanding","Evaluate process phases","Assess preparation importance","100000-140000"
"What is user story mapping?","User story mapping visualizes user journey and prioritizes features. Creates shared understanding, identifies MVP, guides release planning. Focuses on user value delivery.","Product Manager",3,"Agile","Medium","Check story mapping understanding","Evaluate user journey concepts","Assess prioritization knowledge","110000-150000"
"Describe product metrics and KPIs","Product metrics measure success: user engagement, retention, conversion, churn. KPIs align with business goals. Use analytics tools, cohort analysis, funnel analysis.","Product Manager",3,"Analytics","Medium","Check metrics understanding","Evaluate KPI selection knowledge","Assess measurement tools awareness","110000-150000"
"What is product-market fit?","Product-market fit occurs when product satisfies strong market demand. Measured by user retention, growth rate, customer satisfaction. Achieved through iteration, feedback.","Product Manager",3,"Strategy","Medium","Check product-market fit understanding","Evaluate measurement techniques","Assess iteration importance","110000-150000"
